App Name,Description,Price,Google Play URL,App developer,Google Play developer URL,Relevance,Rating,Number of ratings,Category,Country,Last updated,Installs
Senditoo - International Mobile Recharge,,,https://play.google.com/store/apps/details?id=com.horiondigital.senditoo,SENDITOO LTD,https://play.google.com/store/apps/developer?id=SENDITOO+LTD,,,,,,,
MTN Video+,,,https://play.google.com/store/apps/details?id=com.huawei.vc.gh.mtn,MTN Video,https://play.google.com/store/apps/developer?id=MTN+Video,,,,,,,
Coin Flip Free,,,https://play.google.com/store/apps/details?id=com.ihandysoft.coinflip,iHandy Ltd.,https://play.google.com/store/apps/dev?id=8095884964308210606,,,,,,,
Quickteller,,,https://play.google.com/store/apps/details?id=com.interswitch.quickteller.mobile,Interswitch Limited,https://play.google.com/store/apps/developer?id=Interswitch+Limited,,,,,,,
MTN Smart,,,https://play.google.com/store/apps/details?id=com.ionicframework.mtn_smart330451,MTN,https://play.google.com/store/apps/developer?id=MTN,,,,,,,
SmartCoin,,,https://play.google.com/store/apps/details?id=com.itkamer.smartcoin,Patouossa Ibarahim,https://play.google.com/store/apps/developer?id=Patouossa+Ibarahim,,,,,,,
,,,https://play.google.com/store/apps/details?id=com.kudos,Kudos Inc.,https://play.google.com/store/apps/developer?id=Kudos+Inc.,,,,,,,
MTN Bushfire Festival,,,https://play.google.com/store/apps/details?id=com.layarstudio.bushfire,Plankton.mobi,https://play.google.com/store/apps/developer?id=Plankton.mobi,,,,,,,
MTN Quick Codes,,,https://play.google.com/store/apps/details?id=com.leo.quickcodes,wadleo,https://play.google.com/store/apps/developer?id=wadleo,,,,,,,
Recharge - Ezzy,,,https://play.google.com/store/apps/details?id=com.mapdevco.recharge_ezzy,Mapdevco (Pty) Ltd,https://play.google.com/store/apps/developer?id=Mapdevco+(Pty)+Ltd,,,,,,,
THAT HEALTH AGAIN,,,https://play.google.com/store/apps/details?id=com.mhor.thea,mhor_enterprise,https://play.google.com/store/apps/developer?id=mhor_enterprise,,,,,,,
MobileRecharge - Mobile Top Up,,,https://play.google.com/store/apps/details?id=com.mobilerecharge.ui,"Miron Enterprises, LLC","https://play.google.com/store/apps/developer?id=Miron+Enterprises,+LLC",,,,,,,
Free Mobile Internet,,,https://play.google.com/store/apps/details?id=com.Mohamadov.IntrenetGratuit,Apps Gratuit,https://play.google.com/store/apps/developer?id=Apps+Gratuit,,,,,,,
